CLIP_NAME,DURATION,TIMESTAMP
8.L,0:15.360,3:19.794
8.L,0:15.360,3:35.154
8.L,0:15.360,3:50.514
x.L,0:09.485,4:05.874
8.L,0:14.436,0:00.204
8.L,0:14.436,0:14.640
6.L,0:10.827,0:29.076
8.L,0:14.436,0:39.903
8.L,0:14.436,0:54.339
8.L,0:14.436,1:08.775
8.L,0:14.436,1:23.212
8.L,0:14.436,1:37.648
4.L,0:07.218,1:52.084
8.L,0:14.436,1:59.302
8.L,0:14.436,2:13.738
4.L,0:07.218,2:28.174
8.L,0:14.436,2:35.392
8.L,0:14.436,2:49.828
8.L,0:14.436,3:04.264
8.L,0:14.436,3:18.700
x.L,0:09.289,3:33.136
8.L,0:14.328,0:00.171
8.L,0:14.328,0:14.499
8.L,0:14.328,0:28.827
8.L,0:14.328,0:43.156
8.L,0:14.328,0:57.484
8.L,0:14.328,1:11.812
8.L,0:14.328,1:26.141
8.L,0:14.328,1:40.469
8.L,0:14.328,1:54.797
8.L,0:14.328,2:09.126
8.L,0:14.328,2:23.454
8.L,0:14.328,2:37.782
8.L,0:14.328,2:52.111
8.L,0:14.328,3:06.439
8.L,0:14.328,3:20.768
8.L,0:14.328,3:35.096
8.L,0:14.328,3:49.424
8.L,0:14.328,4:03.753
x.L,0:10.638,4:18.081
8.L,0:20.000,0:00.179
8.L,0:20.000,0:20.179
8.L,0:20.000,0:40.179
8.L,0:20.000,1:00.179
8.L,0:20.000,1:20.179
8.L,0:20.000,1:40.179
x.L,0:14.380,2:00.179
8.L,0:15.508,0:00.202
8.L,0:15.508,0:15.711
8.L,0:15.508,0:31.220
8.L,0:15.508,0:46.729
8.L,0:15.508,1:02.238
8.L,0:15.508,1:17.747
8.L,0:15.508,1:33.256
8.L,0:15.508,1:48.765
8.L,0:15.508,2:04.273
8.L,0:15.508,2:19.782
8.L,0:15.508,2:35.291
8.L,0:15.508,2:50.800
8.L,0:15.508,3:06.309
8.L,0:15.508,3:21.818
8.L,0:15.508,3:37.327
x.L,0:10.977,3:52.836
4.L,0:07.384,0:00.157
8.L,0:14.769,0:07.542
8.L,0:14.769,0:22.311
8.L,0:14.769,0:37.081
8.L,0:14.769,0:51.850
4.L,0:07.384,1:06.619
8.L,0:14.769,1:14.004
6.L,0:11.076,1:28.773
6.L,0:11.076,1:39.850
8.L,0:14.769,1:50.927
8.L,0:14.769,2:05.696
8.L,0:14.769,2:20.465
8.L,0:14.769,2:35.234
8.L,0:14.769,2:50.004
8.L,0:14.769,3:04.773
8.L,0:14.769,3:19.542
x.L,0:09.501,3:34.311
8.L,0:16.842,0:00.179
8.L,0:16.842,0:17.021
8.L,0:16.842,0:33.863
8.L,0:16.842,0:50.706
8.L,0:16.842,1:07.548
8.L,0:16.842,1:24.390
8.L,0:16.842,1:41.232
6.L,0:12.631,1:58.074
6.L,0:12.631,2:10.706
4.L,0:08.421,2:23.337
8.L,0:16.842,2:31.758
8.L,0:16.842,2:48.600
8.L,0:16.842,3:05.442
8.L,0:16.842,3:22.285
8.L,0:16.842,3:39.127
8.L,0:16.842,3:55.969
8.L,0:16.842,4:12.811
8.L,0:16.842,4:29.653
8.L,0:23.757,4:46.495
8.L,0:15.000,0:00.280
8.L,0:15.000,0:15.280
8.L,0:15.000,0:30.280
8.L,0:15.000,0:45.280
8.L,0:15.000,1:00.280
8.L,0:15.000,1:15.280
8.L,0:15.000,1:30.280
8.L,0:15.000,1:45.280
8.L,0:15.000,2:00.280
8.L,0:15.000,2:15.280
4.L,0:07.500,2:30.280
8.L,0:15.000,2:37.780
8.L,0:15.000,2:52.780
8.L,0:15.000,3:07.780
8.L,0:15.000,3:22.780
8.L,0:15.000,3:37.780
x.L,0:06.312,3:52.780
6.L,0:11.492,0:00.186
6.L,0:11.492,0:11.678
6.L,0:11.492,0:23.171
4.L,0:07.661,0:34.663
6.L,0:11.492,0:42.325
6.L,0:11.492,0:53.817
6.L,0:11.492,1:05.310
6.L,0:11.492,1:16.802
6.L,0:11.492,1:28.295
8.L,0:15.323,1:39.787
8.L,0:15.323,1:55.110
4.L,0:07.661,2:10.433
8.L,0:15.323,2:18.095
6.L,0:11.492,2:33.418
6.L,0:11.492,2:44.911
6.L,0:11.492,2:56.403
6.L,0:11.492,3:07.896
6.L,0:11.492,3:19.388
x.L,0:14.319,3:30.880
8.L,0:14.414,0:00.265
8.L,0:14.414,0:14.680
6.L,0:10.795,0:29.094
10. Vitalic - La Mort Sur Le Dancefloor-28.L,0:00.014,0:39.890
8.L,0:14.394,0:39.905
