File1,File2,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_61.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO61L.csv,0,18,6,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_62.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO62L.csv,18,6,5,0.7500,0.7826,0.7660
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_63.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO63L.csv,2,12,21,0.1429,0.0870,0.1081
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_64.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO64L.csv,12,2,2,0.8571,0.8571,0.8571
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_65.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO65L.csv,0,15,4,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_66.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO66L.csv,0,46,11,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_67.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO67L.csv,0,13,4,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_68.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO68L.csv,0,13,15,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_69.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO69L.csv,7,10,9,0.4118,0.4375,0.4242
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_70.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO70L.csv,0,25,23,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_71.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO71L.csv,3,20,15,0.1304,0.1667,0.1463
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_72.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO72L.csv,0,21,21,0.0000,0.0000,0.0000
Overall,,222,1074,707,0,0.1713,0.2390,0.1996
