File1,File2,Timestamp1,Duration1,Timestamp2,Duration2,Time Difference,Duration Difference
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,9.43,18.224,28.6,11.8,19.170s,6.424s
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,27.655,18.224,40.4,8.4,12.745s,9.824s
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,45.88,18.224,48.8,9.8,2.920s,8.424s
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,64.105,18.224,58.6,6.2,5.505s,12.024s
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,82.329,18.224,64.8,31.8,17.529s,13.576s
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,100.554,18.224,96.6,5.2,3.954s,13.024s
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,118.779,9.077,101.8,11.2,16.979s,2.123s
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,127.857,18.224,113.0,5.6,14.857s,12.624s
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,146.082,18.224,118.6,10.2,27.482s,8.024s
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,164.307,18.224,128.8,11.8,35.507s,6.424s
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,182.532,18.224,140.6,8.0,41.932s,10.224s
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,200.757,18.208,148.6,10.2,52.157s,8.008s
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,218.966,18.224,158.8,6.2,60.166s,12.024s
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,237.191,18.224,165.0,31.6,72.191s,13.376s
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,255.416,16.21,196.6,5.4,58.816s,10.810s
parsed_data_12.csv,parsed_VitalicSegmented12L.csv,0.264,14.403,0.0,12.6,0.264s,1.803s
parsed_data_12.csv,parsed_VitalicSegmented12L.csv,29.072,14.403,29.8,4.0,0.728s,10.403s
parsed_data_12.csv,parsed_VitalicSegmented12L.csv,43.475,14.403,33.8,31.0,9.675s,16.597s
parsed_data_12.csv,parsed_VitalicSegmented12L.csv,57.879,14.403,64.8,6.8,6.921s,7.603s
parsed_data_12.csv,parsed_VitalicSegmented12L.csv,72.282,14.403,71.6,5.6,0.682s,8.803s
parsed_data_12.csv,parsed_VitalicSegmented12L.csv,86.686,14.403,77.2,6.0,9.486s,8.403s
parsed_data_12.csv,parsed_VitalicSegmented12L.csv,101.09,14.403,83.2,4.8,17.890s,9.603s
parsed_data_12.csv,parsed_VitalicSegmented12L.csv,115.52,7.201,88.0,5.6,27.520s,1.601s
parsed_data_12.csv,parsed_VitalicSegmented12L.csv,122.722,14.403,93.6,5.2,29.122s,9.203s
parsed_data_12.csv,parsed_VitalicSegmented12L.csv,137.125,14.403,98.8,5.8,38.325s,8.603s
parsed_data_12.csv,parsed_VitalicSegmented12L.csv,151.529,14.403,104.6,5.4,46.929s,9.003s
parsed_data_12.csv,parsed_VitalicSegmented12L.csv,165.932,14.403,110.0,30.0,55.932s,15.597s
parsed_data_12.csv,parsed_VitalicSegmented12L.csv,180.336,14.403,140.0,5.6,40.336s,8.803s
parsed_data_12.csv,parsed_VitalicSegmented12L.csv,194.74,14.403,145.6,5.8,49.140s,8.603s
parsed_data_12.csv,parsed_VitalicSegmented12L.csv,209.143,10.776,151.4,5.0,57.743s,5.776s
parsed_data_13.csv,parsed_VitalicSegmented13L.csv,0.0,11.306,0.0,11.8,0.000s,0.494s
parsed_data_13.csv,parsed_VitalicSegmented13L.csv,11.341,14.6,11.8,15.4,0.459s,0.800s
parsed_data_13.csv,parsed_VitalicSegmented13L.csv,25.942,14.6,27.2,24.0,1.258s,9.400s
parsed_data_13.csv,parsed_VitalicSegmented13L.csv,40.542,14.6,51.2,36.6,10.658s,22.000s
parsed_data_13.csv,parsed_VitalicSegmented13L.csv,55.204,14.6,87.8,31.0,32.596s,16.400s
parsed_data_13.csv,parsed_VitalicSegmented13L.csv,69.804,14.6,118.8,24.4,48.996s,9.800s
parsed_data_14.csv,parsed_VitalicSegmented14L.csv,0.228,14.014,0.0,95.4,0.228s,81.386s
parsed_data_14.csv,parsed_VitalicSegmented14L.csv,14.243,14.014,95.4,29.6,81.157s,15.586s
parsed_data_14.csv,parsed_VitalicSegmented14L.csv,28.257,14.014,125.0,42.4,96.743s,28.386s
parsed_data_14.csv,parsed_VitalicSegmented14L.csv,42.272,14.014,167.4,20.6,125.128s,6.586s
parsed_data_14.csv,parsed_VitalicSegmented14L.csv,56.286,14.014,188.0,28.4,131.714s,14.386s
parsed_data_14.csv,parsed_VitalicSegmented14L.csv,70.301,14.014,216.4,22.4,146.099s,8.386s
parsed_data_14.csv,parsed_VitalicSegmented14L.csv,84.316,10.51,238.8,40.6,154.484s,30.090s
parsed_data_14.csv,parsed_VitalicSegmented14L.csv,94.826,10.51,279.4,20.8,184.574s,10.290s
parsed_data_14.csv,parsed_VitalicSegmented14L.csv,105.337,10.51,300.2,12.0,194.863s,1.490s
parsed_data_14.csv,parsed_VitalicSegmented14L.csv,115.848,10.51,312.2,19.8,196.352s,9.290s
parsed_data_15.csv,parsed_VitalicSegmented15L.csv,0.256,15.204,0.0,30.6,0.256s,15.396s
parsed_data_15.csv,parsed_VitalicSegmented15L.csv,15.461,15.203,30.6,30.8,15.139s,15.597s
parsed_data_15.csv,parsed_VitalicSegmented15L.csv,30.665,15.197,61.4,29.0,30.735s,13.803s
parsed_data_15.csv,parsed_VitalicSegmented15L.csv,45.862,15.199,90.4,31.4,44.538s,16.201s
parsed_data_15.csv,parsed_VitalicSegmented15L.csv,61.062,15.204,121.8,37.0,60.738s,21.796s
parsed_data_15.csv,parsed_VitalicSegmented15L.csv,76.267,15.204,158.8,55.6,82.533s,40.396s
parsed_data_15.csv,parsed_VitalicSegmented15L.csv,91.471,15.204,214.4,14.2,122.929s,1.004s
parsed_data_15.csv,parsed_VitalicSegmented15L.csv,106.676,15.204,228.6,38.0,121.924s,22.796s
parsed_data_16.csv,parsed_VitalicSegmented16L.csv,0.234,14.014,0.0,5.6,0.234s,8.414s
parsed_data_16.csv,parsed_VitalicSegmented16L.csv,14.249,14.014,5.6,23.4,8.649s,9.386s
parsed_data_16.csv,parsed_VitalicSegmented16L.csv,28.263,14.014,29.0,41.4,0.737s,27.386s
