File1,File2,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_49.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_49.csv,0,16,6,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_50.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_50.csv,0,28,6,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_51.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_51.csv,1,19,5,0.0500,0.1667,0.0769
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_52.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_52.csv,0,10,6,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_53.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_53.csv,0,16,6,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_54.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_54.csv,1,18,5,0.0526,0.1667,0.0800
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_55.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_55.csv,1,20,5,0.0476,0.1667,0.0741
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_56.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_56.csv,0,20,6,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_57.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_57.csv,1,8,5,0.1111,0.1667,0.1333
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_58.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_58.csv,1,10,5,0.0909,0.1667,0.1176
